TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0.88,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4187393,0.8490524,0.3473451,0.0647628,0.8564192,0.4301294,-0.1412784,0.8843625,0.6913796,0.2835021,0.8843625,0.6913797,-0.5041429,0.8518398,0.3786776,0.6714222,0.8602992,0.5549101,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.9,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4178231,0.8461848,0.3491669,0.06475175,0.8549641,0.4303872,-0.1412784,0.8843101,0.6910826,0.2835021,0.8843101,0.6910827,-0.5030397,0.8489087,0.3804993,0.6714222,0.8602992,0.5549101,79.99997,0,0,80.00104,0.02140019,0.02405094,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.92,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4169068,0.8433173,0.3509886,0.06476271,0.854673,0.4304371,-0.1412784,0.8842697,0.6908535,0.2835021,0.8842697,0.6908536,-0.502524,0.8465976,0.38152,0.6714222,0.8602992,0.5549101,79.99997,0,0,80.00019,0.004337801,0.004240591,79.99997,0,0,79.99997,0,0,80.00165,-0.001930633,-0.001416239,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.94,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166748,0.8412579,0.3516781,0.06476275,0.8546149,0.4304475,-0.1412784,0.8842373,0.6906695,0.2835021,0.8842373,0.6906697,-0.502525,0.8461128,0.381606,0.6714222,0.8602992,0.5549101,80.00059,0.006166527,0.01803252,80.00003,0.0008655116,0.0008514163,79.99997,0,0,79.99997,0,0,80.00048,-0.0004318609,0.0002298384,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.96,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166759,0.8408334,0.3517533,0.06476279,0.8546032,0.4304495,-0.1412784,0.8842171,0.6905553,0.2835021,0.8842171,0.6905555,-0.5025241,0.8460157,0.3816222,0.6714222,0.8602992,0.5549101,80.00009,0.0007476922,0.01284315,79.99999,0.0001754399,0.0001697954,79.99997,0,0,79.99997,0,0,80.00011,-5.693291E-05,0.00042814,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.98,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8407485,0.3517678,0.0647628,0.8546009,0.4304499,-0.1412784,0.8841992,0.6904538,0.2835021,0.8841993,0.6904538,-0.5025241,0.8459963,0.3816257,0.6714222,0.8602992,0.5549101,79.99997,0.0001835931,0.01213256,79.99999,3.251954E-05,2.842381E-05,79.99997,0,0,79.99997,0,0,80.00003,-1.209892E-05,0.000488052,79.99997,0,0,highlighted,highlighted,,,highlighted,
1,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8407316,0.3517708,0.0647628,0.8546004,0.43045,-0.1412784,0.884186,0.6903788,0.2835021,0.884186,0.6903788,-0.5025241,0.8459924,0.3816263,0.6714222,0.8602992,0.5549101,79.99997,3.736725E-05,0.01198212,79.99999,6.693077E-06,-1.301666E-06,79.99997,0,0,79.99997,0,0,80.00003,-1.91098E-06,0.0004869272,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.02,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8407282,0.3517714,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841714,0.690296,0.2835021,0.8841714,0.6902961,-0.5025241,0.8459917,0.3816265,0.6714222,0.8602992,0.5549101,79.99997,7.358215E-06,0.01195569,80.00005,1.44669E-06,1.476172E-07,79.99997,0,0,79.99997,0,0,80.00003,2.313701E-07,0.000499286,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.04,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8407274,0.3517715,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841601,0.6902319,0.2835021,0.8841601,0.6902319,-0.5025241,0.8459915,0.3816265,0.6714222,0.8602992,0.5549101,79.99997,-2.547167E-06,0.01196238,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,80.00003,-4.561383E-08,0.0004935372,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.06,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8407273,0.3517715,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841518,0.6901851,0.2835021,0.8841518,0.6901851,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,5.041518E-08,0.01194898,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99999,-2.661806E-07,0.0004877615,79.99997,0,0,highlighted,highlighted,,,highlighted,
